assessment cdm type,Type,map category,csv key,Korean_Context,English_Context,semantic_allowed,Format/Range,0,1,2,3,4,5,6,7,8,9,10,11
CoreQ,A,psqi,PSQI_01_BedIn_HH,"PSQI - (주중/주말 묻지 않는 버전) 지난 한 달 동안 , 몇 시에 잠자리에 들었습니까? 오전/오후 (시간)","During the past month, when have you usually gone to bed at night?' (Hour)",0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_01_BedIn_MM,"PSQI - (주중/주말 묻지 않는 버전) 지난 한 달 동안 , 몇 시에 잠자리에 들었습니까? 오전/오후 (분)","During the past month, when have you usually gone to bed at night?' (Minute)",0,00-59,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_02_Latency_HH_week,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 밤마다 잠드는데 얼마나 오래 걸렸습니까? 주중 (시간)",,0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_02_Latency_MM_week,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 밤마다 잠드는데 얼마나 오래 걸렸습니까? 주중 (분)",,0,00-59,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_02_Latency_HH_free,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 밤마다 잠드는데 얼마나 오래 걸렸습니까? 주말 (시간)",,0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_02_Latency_MM_free,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 밤마다 잠드는데 얼마나 오래 걸렸습니까? 주말 (분)",,0,00-59,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_02_Latency_HH,"PSQI - (주중/주말 묻지 않는 버전) 지난 한 달 동안, 밤마다 잠드는데 얼마나 오래 걸렸습니까? (시간)","During the past month, how long (in minutes) has it usually take you to fall asleep each night?' (Hour)",0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_02_Latency_MM,"PSQI - (주중/주말 묻지 않는 버전) 지난 한 달 동안, 밤마다 잠드는데 얼마나 오래 걸렸습니까? (분)","During the past month, how long (in minutes) has it usually take you to fall asleep each night?' (Minute)",0,00-59,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_03_BedOut_HH_week,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 아침에 몇 시에 일어났습니까? 주중 (시간)",,0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_03_BedOut_MM_week,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 아침에 몇 시에 일어났습니까? 주중 (분)",,0,00-59,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_03_BedOut_HH_free,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 아침에 몇 시에 일어났습니까? 주말 (시간)",,0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_03_BedOut_MM_free,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 아침에 몇 시에 일어났습니까? 주말 (분)",,0,00-59,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_03_BedOut_HH,"PSQI - (주중/주말 묻지 않는 버전) 지난 한 달 동안, 아침에 몇 시에 일어났습니까? (시간)","During the past month, when have you usually gotten up in the morning?' (Hour)",0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_03_BedOut_MM,"PSQI - (주중/주말 묻지 않는 버전) 지난 한 달 동안, 아침에 몇 시에 일어났습니까? (분)","During the past month, when have you usually gotten up in the morning?' (Minute)",0,00-59,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_04_SD_HH_week,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 실제로 잠을 잔 시간은 하루에 평균 얼마나 됩니까? 주중 (시간)",,0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_04_SD_MM_week,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 실제로 잠을 잔 시간은 하루에 평균 얼마나 됩니까? 주중 (분)",,0,00-59,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_04_SD_HH_free,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 실제로 잠을 잔 시간은 하루에 평균 얼마나 됩니까? 주말 (시간)",,0,00-24,,,,,,,,,,,,
CoreQ,A,psqi,PSQI_04_SD_MM_free,"PSQI - (주중/주말 묻는 버전) 지난 한 달 동안, 실제로 잠을 잔 시간은 하루에 평균 얼마나 됩니까? 주말 (분)",,0,00-59,,,,,,,,,,,,
